Grid.ID,lat,long
DH,53.8746,-166.5423
gf105,54.2879,-164.2684
gh105,54.1731,-164.0241
gj105,54.0583,-163.7806
gj107,54.1793,-163.5848
gh107,54.2941,-163.8277
gf107,54.4089,-164.0715
gn123,54.9174,-161.5226
gp123,54.8026,-161.2865
gr123,54.6878,-161.0513
hf135,54.6022,-158.2681
hd135,54.7216,-158.4858
hb135,54.8396,-158.7012
gz135,54.9544,-158.9293
gx135,55.0692,-159.1581
hf139,54.8444,-157.8701
hd139,54.9631,-158.0877
hb139,55.0815,-158.3014
gz139,55.1963,-158.5283
gx139,55.3111,-158.756
gv139,55.4259,-158.9844
gt139,55.5407,-159.2135
hh143,54.9791,-157.226
hf143,55.0939,-157.4497
hd143,55.2087,-157.674
hb143,55.3234,-157.8991
gz143,55.4382,-158.1249
gx143,55.553,-158.3513
gv143,55.6678,-158.5786
hj145,54.9853,-156.8033
hj147,55.1062,-156.603
hh147,55.221,-156.8248
hf147,55.3358,-157.0473
hd147,55.4506,-157.2705
hb147,55.5654,-157.4944
gz147,55.6801,-157.7189
gx147,55.7949,-157.9442
gv147,55.9097,-158.1702
gv149,56.0307,-157.9651
gx149,55.9159,-157.7397
gz149,55.8011,-157.515
hb149,55.6863,-157.2911
hd149,55.5715,-157.0678
hf149,55.4567,-156.8452
hh149,55.342,-156.6232
hj149,55.2272,-156.402
hj151,55.3481,-156.2004
hh151,55.4629,-156.4211
hf151,55.5777,-156.6424
hd151,55.6925,-156.8644
hb151,55.8073,-157.0871
gz151,55.9221,-157.3105
gx151,56.0368,-157.5346
gv151,56.1516,-157.7594
gv153,56.2726,-157.553
gx153,56.1578,-157.3288
gz153,56.043,-157.1053
hb153,55.9282,-156.8826
hd153,55.8134,-156.6605
hf153,55.6987,-156.439
hh153,55.5839,-156.2183
hj153,55.4691,-155.9982
hj155,55.59,-155.7954
hh155,55.7048,-156.0149
hf155,55.8196,-156.235
hd155,55.9344,-156.4559
gz155,56.164,-156.8995
gx155,56.2787,-157.1224
gv155,56.3935,-157.3459
gx157,56.3997,-156.9153
gz157,56.2849,-156.693
hb157,56.1701,-156.4715
hd157,56.0554,-156.2506
hf157,55.9406,-156.0304
hh157,55.8258,-155.8109
hf159,56.0615,-155.8251
hd159,56.1763,-156.0447
hb159,56.2911,-156.265
gz159,56.4059,-156.4859
gx159,56.5207,-156.7075
gv159,56.6354,-156.9298
gv161,56.7564,-156.7208
gx161,56.6416,-156.4991
gz161,56.5268,-156.2781
hb161,56.412,-156.0578
hd161,56.2973,-155.8382
hf161,56.1825,-155.6192
hf163,56.3034,-155.4126
hd163,56.4182,-155.631
hb163,56.533,-155.85
gz163,56.6478,-156.0697
gx163,56.7626,-156.29
gv163,56.8774,-156.5111
gv165,56.9983,-156.3007
gx165,56.8835,-156.0803
gz165,56.7687,-155.8606
hb165,56.654,-155.6415
hd165,56.5392,-155.4231
hd167,56.6601,-155.2146
hb167,56.7749,-155.4324
gz167,56.8897,-155.6508
gx167,57.0045,-155.8698
gv167,57.1193,-156.0896
gt169,57.355,-156.0833
gv169,57.2402,-155.8778
gx169,57.1254,-155.6587
gz169,57.0107,-155.4403
hb169,56.8959,-155.2225
hd169,56.7811,-155.0054
hd171,56.902,-154.7956
hb171,57.0168,-155.012
gz171,57.1316,-155.2291
gx171,57.2464,-155.4469
gv171,57.3612,-155.6653
gv173,57.4821,-155.4521
gx173,57.3674,-155.2344
gz173,57.2526,-155.0173
hb173,57.1378,-154.8008
gz175,57.3735,-154.8047
gx175,57.4883,-155.0212
gv175,57.6031,-155.2383
FOX61,57.72,-155.26
FOX60,57.68,-155.17
FOX59,57.64,-155.07
FOX58,57.61,-155.01
FOX57,57.55,-154.88
FOX56,57.52,-154.78
gx177,57.6093,-154.8073
gx179,57.7302,-154.5927
gx181,57.8512,-154.3773
gx183,57.9721,-154.1612
gx185,58.0931,-153.9444
gx187,58.2141,-153.7269
gx189,58.335,-153.5086
gx191,58.456,-153.2895
gx193,58.5769,-153.0697
gx195,58.6979,-152.8492
gx197,58.8188,-152.6279
gx199,58.9398,-152.4058
gx201,59.0607,-152.1829
gz203,59.0669,-151.7527
hb205,59.0731,-151.3238
hl205,58.4992,-150.3061
hj205,58.614,-150.5086
hh205,58.7287,-150.7115
hf205,58.8435,-150.9151
hd205,58.9583,-151.1192
hl201,58.2573,-150.7439
hj201,58.372,-150.9479
hh201,58.4868,-151.1523
hf201,58.6016,-151.3573
hd201,58.7164,-151.5629
hb201,58.8312,-151.7689
hb199,58.7102,-151.9903
hd199,58.5954,-151.7835
hd197,58.4745,-152.0034
hf199,58.4807,-151.5772
hf197,58.3597,-151.7964
hh199,58.3659,-151.3715
hh197,58.2449,-151.59
hj199,58.2511,-151.1664
hl199,58.1363,-150.9617
hn199,58.0215,-150.7577
hp199,57.9047,-150.5473
hp197,57.7854,-150.76
hn197,57.9006,-150.9741
hl197,58.0153,-151.1788
hj197,58.1301,-151.3841
hh195,58.124,-151.8077
hj195,58.0092,-151.6012
hl195,57.8944,-151.3952
hn195,57.7796,-151.1897
hp195,57.6656,-150.9728
hp193,57.5455,-151.1857
hn193,57.6586,-151.4047
hl193,57.7734,-151.6108
hj193,57.8882,-151.8175
hh193,58.003,-152.0247
hj191,57.7673,-152.033
hp189,57.3039,-151.6114
hn189,57.4167,-151.8324
hl189,57.5315,-152.0398
hp185,57.0608,-152.0371
hn185,57.1748,-152.2573
hl185,57.2896,-152.466
hp181,56.8161,-152.4629
hn181,56.9329,-152.6794
hl181,57.0477,-152.8895
hp177,56.5728,-152.8833
hn177,56.691,-153.0988
hl177,56.8058,-153.3102
hp173,56.332,-153.2968
hn173,56.4491,-153.5155
hl173,56.5639,-153.7281
Kodiak,57.78385,-152.4267
